ID;Name;FullName;Age;Height;Weight;PhotoUrl;Nationality;Overall;Potential;Growth;TotalStats;BaseStats;Positions;BestPosition;Club_id;ValueEUR;WageEUR;ReleaseClause;ClubPosition;ContractUntil;ClubNumber;ClubJoined;OnLoad;NationalTeam;NationalPosition;NationalNumber;PreferredFoot;IntReputation;WeakFoot;SkillMoves;AttackingWorkRate;DefensiveWorkRate;PaceTotal;ShootingTotal;PassingTotal;DribblingTotal;DefendingTotal;PhysicalityTotal;Crossing;Finishing;HeadingAccuracy;ShortPassing;Volleys;Dribbling;Curve;FKAccuracy;LongPassing;BallControl;Acceleration;SprintSpeed;Agility;Reactions;Balance;ShotPower;Jumping;Stamina;Strength;LongShots;Aggression;Interceptions;Positioning;Vision;Penalties;Composure;Marking;StandingTackle;SlidingTackle;GKDiving;GKHandling;GKKicking;GKPositioning;GKReflexes;STRating;LWRating;LFRating;CFRating;RFRating;RWRating;CAMRating;LMRating;CMRating;RMRating;LWBRating;CDMRating;RWBRating;LBRating;CBRating;RBRating;GKRating
209331;M. Salah;Mohamed Salah;28;175;71;https://cdn.sofifa.com/players/209/331/21_60.png;Egypt;90;90;0;2213;471;RW;RW;9;120500000;250000;222900000;RW;2023;11;2017;False;Egypt;RW;10;Left;3;3;4;High;Medium;93;87;81;90;45;75;79;91;59;84;81;90;83;69;75;89;94;92;91;92;91;80;69;85;75;84;63;55;91;84;83;90;38;43;41;14;14;9;11;14;88;88;88;88;88;88;90;90;85;90;74;71;74;70;61;70;25
200104;H. Son;Heung Min Son;27;183;78;https://cdn.sofifa.com/players/200/104/21_60.png;Korea Republic;89;89;0;2148;458;LM,CF,LW;LM;18;110000000;210000;209000000;LM;2023;7;2015;False;Not in team;;;Right;3;5;4;High;High;88;88;82;87;43;70;84;90;68;84;78;89;85;70;74;85;86;90;86;91;78;88;60;89;64;90;62;39;91;84;73;89;50;34;33;11;13;13;6;10;88;87;88;88;88;87;89;89;83;89;71;67;71;67;57;67;22
155862;Sergio Ramos;Sergio Ramos GarcÃ­a;34;184;82;https://cdn.sofifa.com/players/155/862/21_60.png;Spain;89;89;0;2258;463;CB;CB;243;33500000;300000;68700000;CB;2021;4;2005;False;Not in team;;;Right;4;3;3;High;Medium;71;70;76;73;88;85;66;65;92;82;69;65;74;76;83;83;72;70;78;92;66;79;93;81;85;64;90;88;73;71;92;88;85;88;90;11;8;9;7;11;80;73;75;75;75;73;78;78;82;78;84;88;84;86;89;86;21
165153;K. Benzema;Karim Benzema;32;185;81;https://cdn.sofifa.com/players/165/153/21_60.png;France;89;89;0;2111;442;CF,ST;CF;243;83500000;350000;171200000;CF;2023;9;2009;False;France;ST;19;Right;4;4;4;Medium;Medium;74;85;81;86;40;76;75;88;91;86;86;87;81;73;73;90;77;72;79;91;69;84;79;78;80;79;63;39;90;87;84;90;47;24;18;13;11;5;5;7;89;85;87;87;87;85;89;87;83;87;66;66;66;62;58;62;21
193041;K. Navas;Keylor Navas;33;185;80;https://cdn.sofifa.com/players/193/041/21_60.png;Costa Rica;89;89;0;1391;480;GK;GK;73;33500000;135000;62000000;GK;2024;1;2019;False;Not in team;;;Right;3;3;1;Medium;Medium;90;85;75;90;53;87;11;15;11;30;11;16;11;15;37;19;54;53;60;86;61;56;74;39;75;13;32;20;16;68;25;67;28;14;14;90;85;75;87;90;35;31;34;34;34;31;38;36;38;36;33;36;33;32;34;32;89
192119;T. Courtois;Thibaut Courtois;28;199;96;https://cdn.sofifa.com/players/192/119/21_60.png;Belgium;89;91;2;1327;469;GK;GK;243;88000000;250000;187000000;GK;2026;1;2018;False;Belgium;GK;1;Left;4;3;1;Medium;Medium;84;89;74;88;48;86;14;14;13;33;12;13;19;20;35;23;42;52;62;84;45;56;68;38;70;17;23;15;13;44;27;66;20;18;16;84;89;74;86;88;34;29;31;31;31;29;35;34;35;34;32;34;32;32;32;32;89
200145;Casemiro;Carlos Henrique Venancio Casimiro;28;185;84;https://cdn.sofifa.com/players/200/145/21_60.png;Brazil;89;89;0;2219;462;CDM;CDM;243;90500000;310000;185500000;CDM;2025;14;2013;False;Not in team;;;Right;3;3;2;High;High;65;73;76;72;86;90;58;64;79;84;62;69;62;74;84;79;60;69;61;87;66;88;87;89;90;81;91;87;75;80;66;84;85;88;87;13;14;16;12;12;79;72;76;76;76;72;79;77;85;77;83;89;83;84;89;84;24
202126;H. Kane;Harry Kane;26;188;89;https://cdn.sofifa.com/players/202/126/21_60.png;England;89;89;0;2208;456;ST;ST;18;114500000;230000;217600000;ST;2024;10;2010;False;England;ST;9;Right;3;5;3;High;High;68;91;82;81;51;83;77;94;86;84;87;81;83;68;86;85;66;69;69;92;71;91;79;84;85;86;80;44;93;86;91;91;63;36;38;8;10;11;14;11;89;83;86;86;86;83;88;86;85;86;70;72;70;67;66;67;23
212622;J. Kimmich;Joshua Kimmich;25;177;75;https://cdn.sofifa.com/players/212/622/21_60.png;Germany;89;90;1;2284;477;CDM,RB;CDM;21;110000000;150000;189800000;CDM;2025;6;2015;False;Germany;RM;6;Right;3;4;3;High;Medium;71;73;86;84;83;80;91;68;72;87;69;83;85;61;89;85;77;66;84;88;84;78;79;95;68;84;89;84;80;85;44;85;85;85;79;8;15;7;15;15;80;82;81;81;81;82;86;86;89;86;88;89;88;87;84;87;24
212831;Alisson;Alisson Ramses Becker;27;191;91;https://cdn.sofifa.com/players/212/831/21_60.png;Brazil;89;90;1;1383;486;GK;GK;9;88000000;155000;169400000;GK;2027;1;2018;False;Not in team;;;Right;3;3;1;Medium;Medium;86;86;84;89;51;90;17;13;19;45;20;27;19;18;44;30;56;47;40;87;37;63;52;32;78;14;27;11;13;66;23;65;15;19;16;86;86;84;90;89;39;35;38;38;38;35;43;41;43;41;34;38;34;33;33;33;90
208722;S. ManÃ©;Sadio ManÃ©;28;175;69;https://cdn.sofifa.com/players/208/722/21_60.png;Senegal;88;88;0;2193;466;LW;LW;9;92000000;230000;170200000;LW;2023;10;2016;False;Not in team;;;Right;3;4;4;High;Medium;94;83;79;90;44;76;76;87;84;84;75;90;77;64;71;88;95;93;93;92;88;83;86;86;71;78;75;35;90;83;71;84;42;42;38;10;10;15;7;14;88;87;88;88;88;87;88;88;83;88;71;68;71;68;62;68;22
201024;K. Koulibaly;Kalidou Koulibaly;29;187;89;https://cdn.sofifa.com/players/201/024/21_60.png;Senegal;88;88;0;1734;401;CB;CB;48;76500000;140000;130100000;CB;2023;26;2014;False;Not in team;;;Right;3;3;2;Medium;High;75;28;55;68;89;86;30;22;84;74;14;69;28;28;63;74;73;77;52;85;41;55;82;70;94;15;87;87;35;52;33;82;91;89;87;7;11;7;13;5;60;57;59;59;59;57;63;64;69;64;78;83;78;81;88;81;20
182521;T. Kroos;Toni Kroos;30;183;76;https://cdn.sofifa.com/players/182/521/21_60.png;Germany;88;88;0;2147;446;CM;CM;243;87500000;310000;179400000;CM;2023;8;2014;False;Not in team;;;Right;4;5;3;Medium;Medium;54;81;91;81;71;68;88;76;58;93;82;80;86;84;93;89;56;52;63;89;71;89;32;75;72;86;60;79;76;90;73;88;71;73;60;10;11;13;7;10;80;80;81;81;81;80;86;84;88;84;80;84;80;77;73;77;21
210257;Ederson;Ederson Santana de Moraes;26;188;86;https://cdn.sofifa.com/players/210/257/21_60.png;Brazil;88;91;3;1536;499;GK;GK;10;92000000;195000;177100000;GK;2026;31;2017;False;Not in team;;;Left;2;3;1;Medium;Medium;86;82;93;88;63;87;20;14;14;57;18;23;15;20;59;40;64;63;60;88;48;70;66;41;78;18;38;27;20;70;17;70;29;15;8;86;82;93;87;88;42;41;43;43;43;41;48;46;49;46;39;45;39;37;37;37;88
212198;Bruno Fernandes;Bruno Miguel Borges Fernandes;25;179;69;https://cdn.sofifa.com/players/212/198/21_60.png;Portugal;88;91;3;2347;483;CAM;CAM;11;121000000;240000;239000000;CAM;2025;18;2020;False;Portugal;CM;11;Right;2;3;4;High;High;76;86;89;84;70;78;87;83;64;91;87;83;87;87;88;88;78;75;79;91;79;89;73;93;70;89;78;66;87;91;91;87;72;73;65;12;14;15;8;14;85;85;86;86;86;85;89;88;89;88;82;82;82;80;75;80;23
215914;N. KantÃ©;N'Golo KantÃ©;29;168;70;https://cdn.sofifa.com/players/215/914/21_60.png;France;88;88;0;2169;468;CDM,CM;CDM;5;78000000;190000;148200000;CM;2023;7;2016;False;France;CDM;13;Right;3;3;2;Medium;High;77;66;76;81;86;82;68;65;54;85;56;79;49;49;79;80;79;76;82;91;92;71;77;96;72;65;90;91;72;79;54;85;89;90;85;15;12;10;7;10;75;77;77;77;77;77;82;82;85;82;88;88;88;87;86;87;23
189596;T. MÃ¼ller;Thomas MÃ¼ller;30;185;76;https://cdn.sofifa.com/players/189/596/21_60.png;Germany;87;87;0;2141;441;CAM,RM,RW;CAM;21;77000000;140000;127100000;CAM;2023;25;2008;False;Germany;LF;25;Right;4;4;3;High;High;68;84;83;79;56;71;85;88;81;84;84;76;81;59;82;84;68;68;74;94;71;78;77;86;66;82;62;58;96;85;70;84;47;57;46;6;7;11;14;14;86;83;84;84;84;83;87;86;85;86;74;74;74;72;66;72;23
153079;S. AgÃ¼ero;Sergio AgÃ¼ero;32;173;70;https://cdn.sofifa.com/players/153/079/21_60.png;Argentina;87;87;0;2074;427;ST;ST;10;64500000;240000;119300000;SUB;2021;10;2011;False;Argentina;SUB;9;Right;4;4;4;High;Medium;74;89;75;87;33;69;70;94;78;80;85;86;83;73;64;88;77;71;82;89;90;89;78;62;74;83;65;24;92;80;75;91;30;29;24;13;15;6;11;14;87;84;86;86;86;84;87;84;78;84;60;60;60;57;53;57;24
162835;S. HandanoviÄ;Samir HandanoviÄ;35;193;92;https://cdn.sofifa.com/players/162/835/21_60.png;Slovenia;87;87;0;1294;466;GK;GK;44;9000000;84000;15300000;GK;2022;1;2012;False;Not in team;;;Right;3;3;1;Medium;Medium;88;83;70;88;48;89;12;10;10;42;12;18;12;14;40;16;45;50;47;81;36;53;78;41;69;19;25;22;12;41;23;69;25;10;13;88;83;70;89;88;33;29;30;30;30;29;35;34;36;34;33;35;33;32;32;32;87
167948;H. Lloris;Hugo Lloris;33;188;82;https://cdn.sofifa.com/players/167/948/21_60.png;France;87;87;0;1358;475;GK;GK;18;26000000;125000;49400000;GK;2022;1;2012;False;France;GK;1;Left;4;1;1;Medium;Medium;89;83;65;90;63;85;13;10;10;50;11;10;11;10;50;34;65;62;55;85;54;49;74;41;43;14;31;27;10;30;40;65;29;10;18;89;83;65;85;90;34;32;33;33;33;32;38;38;40;38;38;40;38;37;33;37;87
176580;L. SuÃ¡rez;Luis SuÃ¡rez;33;182;83;https://cdn.sofifa.com/players/176/580/21_60.png;Uruguay;87;87;0;2317;460;ST;ST;240;51000000;115000;104600000;ST;2022;9;2020;False;Not in team;;;Right;5;4;3;High;Medium;71;90;82;83;51;83;80;92;84;83;90;83;86;82;77;84;74;68;76;92;78;89;69;78;85;88;87;41;91;84;83;85;57;45;38;27;25;31;33;37;87;84;85;85;85;84;87;86;83;86;70;71;70;67;66;67;40
177003;L. ModriÄ‡;Luka ModriÄ‡;34;172;66;https://cdn.sofifa.com/players/177/003/21_60.png;Croatia;87;87;0;2253;464;CM;CM;243;36500000;260000;74800000;CM;2022;10;2012;False;Not in team;;;Right;4;4;4;Medium;Medium;73;76;89;88;72;66;86;72;55;91;76;85;85;78;89;90;76;70;91;88;92;79;67;83;58;82;62;80;78;90;82;92;70;75;71;13;9;7;14;9;79;83;82;82;82;83;87;87;87;87;84;84;84;81;75;81;22
178603;M. Hummels;Mats Hummels;31;191;96;https://cdn.sofifa.com/players/178/603/21_60.png;Germany;87;87;0;2048;432;CB;CB;22;54500000;100000;92700000;CB;2022;15;2019;False;Germany;CB;5;Right;4;3;3;High;High;57;59;77;72;90;77;65;57;88;82;61;69;66;53;86;80;46;66;63;88;62;71;70;65;86;49;71;91;56;80;68;89;90;90;87;15;6;10;5;6;73;68;70;70;70;68;75;74;81;74;81;87;81;83;87;83;20
183898;A. Di MarÃ­a;Ãngel Di MarÃ­a;32;180;69;https://cdn.sofifa.com/players/183/898/21_60.png;Argentina;87;87;0;2168;453;RW,LW;RW;73;63000000;160000;116600000;SUB;2022;11;2015;False;Argentina;LW;11;Left;4;2;5;High;Medium;83;81;85;88;48;68;88;79;51;83;78;88;89;88;80;87;82;83;94;84;76;83;72;78;60;86;73;42;84;88;73;86;41;55;52;10;7;11;12;11;82;85;84;84;84;85;87;87;84;87;73;70;73;69;61;69;21
186153;W. SzczÄ™sny;Wojciech SzczÄ™sny;30;195;90;https://cdn.sofifa.com/players/186/153/21_60.png;Poland;87;87;0;1317;465;GK;GK;45;53000000;105000;87500000;GK;2024;1;2017;False;Poland;GK;1;Right;3;3;1;Medium;Medium;86;82;73;88;49;87;12;12;16;32;14;11;16;14;36;22;51;47;55;82;51;55;71;45;65;14;40;15;14;48;18;65;20;13;12;86;82;73;87;88;34;28;31;31;31;28;35;34;36;34;31;34;31;31;32;31;87
209658;L. Goretzka;Leon Goretzka;25;189;82;https://cdn.sofifa.com/players/209/658/21_60.png;Germany;87;88;1;2312;495;CM,CDM;CM;21;94500000;130000;163000000;CDM;2022;18;2018;False;Germany;CM;18;Right;3;4;3;High;Medium;80;82;82;84;81;86;75;82;86;86;69;84;76;75;84;87;77;83;76;88;70;85;79;88;88;86;81;86;85;84;60;82;74;85;77;13;8;15;11;9;87;83;85;85;85;83;88;87;88;87;86;87;86;85;86;85;22
192387;C. Immobile;Ciro Immobile;30;185;85;https://cdn.sofifa.com/players/192/387/21_60.png;Italy;87;87;0;2057;438;ST;ST;46;78000000;125000;132600000;ST;2025;17;2016;False;Italy;ST;17;Right;4;4;3;High;Medium;84;88;67;83;39;77;55;93;81;80;85;83;70;51;53;84;82;85;75;90;77;86;77;78;77;80;77;40;93;71;88;86;34;33;32;6;8;15;12;6;87;82;85;85;85;82;85;82;76;82;64;63;64;62;59;62;20
207865;Marquinhos;Marcos AoÃ¡s CorrÃªa;26;183;75;https://cdn.sofifa.com/players/207/865/21_60.png;Brazil;87;90;3;2031;439;CB,CDM;CB;73;92500000;135000;178100000;CB;2024;5;2013;False;Not in team;;;Right;3;3;3;Medium;High;77;48;75;72;88;79;68;45;87;83;33;68;57;32;84;79;74;80;69;87;67;62;91;82;75;38;81;88;68;74;47;86;89;88;88;6;6;12;10;13;71;70;70;70;70;70;75;77;81;77;85;87;85;86;89;86;21
208830;J. Vardy;Jamie Vardy;33;179;74;https://cdn.sofifa.com/players/208/830/21_60.png;England;87;87;0;2145;450;ST;ST;95;51000000;170000;96900000;ST;2023;9;2012;False;Not in team;;;Right;3;4;3;High;Medium;86;85;68;80;56;75;69;92;79;70;84;78;68;60;56;82;87;86;76;91;76;87;79;77;68;67;87;49;93;74;85;88;57;52;54;15;14;7;15;11;87;81;83;83;83;81;82;82;76;82;72;69;72;71;68;71;25
209499;Fabinho;FÃ¡bio Henrique Tavares;26;188;78;https://cdn.sofifa.com/players/209/499/21_60.png;Brazil;87;89;2;2181;463;CDM,CB;CDM;9;88500000;155000;170400000;CDM;2026;3;2018;False;Not in team;;;Right;3;2;3;Medium;High;69;69;79;77;86;83;75;63;75;85;47;76;71;53;83;82;68;69;66;87;65;81;75;88;81;70;86;88;70;79;90;84;87;88;86;13;12;6;8;8;77;75;76;76;76;75;80;80;85;80;86;88;86;86;87;86;21
211110;P. Dybala;Paulo Dybala;26;177;75;https://cdn.sofifa.com/players/211/110/21_60.png;Argentina;87;88;1;2146;449;CF,CAM;CAM;45;95000000;160000;163900000;SUB;2022;10;2015;False;Not in team;;;Left;3;3;4;Medium;Medium;85;82;84;92;43;63;82;80;64;87;88;91;88;88;75;94;89;82;92;84;90;80;75;78;60;87;48;42;85;87;84;84;32;48;40;5;4;4;5;8;85;87;86;86;86;87;88;88;84;88;71;67;71;67;57;67;17
216267;A. Robertson;Andrew Robertson;26;178;64;https://cdn.sofifa.com/players/216/267/21_60.png;Scotland;87;88;1;2141;463;LB;LB;9;85500000;155000;164600000;LB;2026;26;2017;False;Scotland;LWB;3;Left;3;2;3;High;High;82;62;80;81;82;76;88;57;67;82;32;81;82;50;76;83;79;85;78;85;74;78;62;95;65;65;85;83;77;79;55;83;83;84;81;11;8;10;7;14;76;79;77;77;77;79;81;84;84;84;88;85;88;87;82;87;21
233049;J. Sancho;Jadon Sancho;20;180;76;https://cdn.sofifa.com/players/233/049/21_60.png;England;87;92;5;2011;433;RM,CF,LM;CAM;22;118500000;82000;210300000;LM;2023;7;2017;False;England;RES;17;Right;3;3;5;High;Medium;83;76;82;91;37;64;82;81;38;87;83;92;84;65;70;90;86;80;91;85;90;73;51;77;67;65;44;39;82;87;65;85;32;41;32;7;11;10;11;13;80;85;84;84;84;85;88;88;82;88;69;65;69;63;52;63;22
239085;E. Haaland;Erling Haaland;19;194;88;https://cdn.sofifa.com/players/239/085/21_60.png;Norway;87;93;6;2086;453;ST;ST;22;122500000;72000;232800000;ST;2024;9;2020;False;Norway;ST;23;Left;2;3;3;High;High;87;90;65;79;45;87;47;92;69;77;88;77;77;62;51;84;82;91;75;87;69;94;74;80;93;85;85;43;88;69;76;83;46;43;30;7;14;13;11;7;88;79;83;83;83;79;82;79;74;79;64;65;64;62;62;62;20
202652;R. Sterling;Raheem Sterling;25;170;69;https://cdn.sofifa.com/players/202/652/21_60.png;England;87;88;1;2103;454;LW,RW;LW;10;95000000;230000;182900000;SUB;2023;7;2015;False;England;LW;10;Right;3;3;4;High;Medium;92;80;79;88;45;70;78;83;46;84;67;87;77;63;69;86;96;88;94;89;94;78;57;79;71;79;59;30;90;82;67;78;47;53;47;15;12;12;15;9;84;86;85;85;85;86;88;88;81;88;72;67;72;68;59;68;24
212218;A. Laporte;Aymeric Laporte;26;191;85;https://cdn.sofifa.com/players/212/218/21_60.png;Spain;86;89;3;1972;420;CB;CB;10;79000000;185000;152100000;SUB;2024;14;2018;False;Spain;CB;24;Left;2;3;2;Medium;Medium;63;50;72;68;87;80;58;45;84;82;40;63;61;69;80;78;60;65;57;87;60;68;76;72;84;47;81;87;54;65;44;84;87;87;86;10;11;5;14;5;68;65;66;66;66;65;70;70;76;70;79;84;79;81;86;81;20
193080;De Gea;David De Gea Quintana;29;192;82;https://cdn.sofifa.com/players/193/080/21_60.png;Spain;86;86;0;1432;471;GK;GK;11;46500000;150000;88400000;SUB;2023;1;2011;False;Spain;SUB;1;Right;4;3;1;Medium;Medium;88;80;76;89;58;80;17;13;21;48;13;18;21;19;43;38;57;58;63;84;43;57;67;43;55;12;38;30;12;61;29;65;25;21;13;88;80;76;80;89;37;36;37;37;37;36;43;41;45;41;39;42;39;38;37;38;86
194765;A. Griezmann;Antoine Griezmann;29;176;73;https://cdn.sofifa.com/players/194/765/21_60.png;France;86;86;0;2276;463;ST,LW,RW;ST;241;68000000;270000;139400000;ST;2024;7;2019;False;France;RW;7;Left;4;3;4;Medium;Medium;80;83;84;87;57;72;83;84;83;85;87;85;86;85;82;89;80;80;91;90;83;82;90;86;63;82;73;49;89;85;79;89;59;54;49;14;8;14;13;14;86;85;86;86;86;85;86;86;85;86;75;74;75;73;68;73;24
195864;P. Pogba;Paul Pogba;27;191;84;https://cdn.sofifa.com/players/195/864/21_60.png;France;86;86;0;2224;473;CM,LM;CM;11;72000000;190000;136800000;SUB;2022;6;2016;False;France;CM;6;Right;4;4;5;High;Medium;73;81;85;86;65;83;77;75;74;86;84;88;85;82;92;90;66;79;73;81;68;90;82;75;89;83;78;65;82;88;83;88;59;67;63;5;6;2;4;3;85;82;83;83;83;82;86;86;86;86;77;80;77;75;75;75;16
199556;M. Verratti;Marco Verratti;27;165;60;https://cdn.sofifa.com/players/199/556/21_60.png;Italy;86;86;0;2172;445;CM,CDM;CM;73;72000000;135000;133199999;CAM;2024;6;2012;False;Italy;CM;6;Right;3;4;4;Medium;High;64;60;85;90;79;67;77;60;55;90;64;90;80;64;89;90;68;61;91;87;94;56;65;76;53;58;89;85;71;88;64;94;78;82;83;12;12;15;15;10;72;79;78;78;78;79;85;84;86;84;84;86;84;83;80;83;24
204963;Carvajal;Daniel Carvajal Ramos;28;173;73;https://cdn.sofifa.com/players/204/963/21_60.png;Spain;86;86;0;2132;454;RB;RB;243;61500000;230000;126100000;SUB;2025;2;2013;False;Not in team;;;Right;3;3;3;High;Medium;80;54;78;80;82;80;84;51;72;83;49;78;76;47;74;84;79;80;79;84;81;68;77;89;74;47;84;82;75;74;45;81;83;83;85;13;13;15;9;15;74;76;74;74;74;76;79;82;81;82;86;85;86;86;84;86;23
206113;S. Gnabry;Serge Gnabry;24;176;77;https://cdn.sofifa.com/players/206/113/21_60.png;Germany;86;88;2;2086;447;RM,LM,RW;RM;21;88000000;110000;151800000;SUB;2023;7;2017;False;Germany;ST;10;Right;3;4;4;High;Medium;83;85;80;86;43;70;79;87;42;82;83;88;74;62;78;83;90;77;86;86;88;87;65;78;69;82;63;38;86;83;68;80;45;44;43;14;10;10;9;7;83;84;84;84;84;84;87;87;81;87;70;67;70;65;57;65;21
230621;G. Donnarumma;Gianluigi Donnarumma;21;196;90;https://cdn.sofifa.com/players/230/621/21_60.png;Italy;86;92;6;1361;472;GK;GK;47;88500000;37000;168200000;GK;2021;99;2015;False;Italy;GK;21;Right;3;3;1;Medium;Medium;89;81;76;89;53;84;12;12;12;36;8;28;12;14;34;30;50;55;64;80;38;57;72;34;72;18;30;26;14;60;24;68;20;14;16;89;81;76;84;89;36;34;36;36;36;34;41;38;40;38;34;37;34;33;34;33;88
