CLI_ID;CLI_ANNEE;CLI_PROD;CLI_PRIX;CLI_CONFORT;CLI_COM;CLI_CHOIX;CLI_AGE;CLI_GENRE
CLI_203;1;1;9800;1150;2;1;51;M
CLI_204;1;1;8000;1250;1;1;43;M
CLI_205;1;1;9800;1400;5;3;45;F
CLI_206;1;1;7300;1000;5;4;29;M
CLI_207;1;1;5100;900;3;2;33;F
CLI_208;1;1;5800;800;4;1;31;F
CLI_209;1;1;8000;1100;2;1;38;F
CLI_210;1;2;6000;700;1;0;34;F
CLI_211;1;1;8600;1350;4;4;44;F
CLI_212;1;1;4400;650;3;2;32;M
CLI_213;1;2;14500;2150;3;3;47;M
CLI_214;1;2;8800;1000;4;0;26;F
CLI_215;1;1;7300;1250;4;1;41;M
CLI_216;1;2;6000;950;4;0;27;F
CLI_217;1;1;4500;800;5;2;21;F
CLI_218;1;1;7900;1400;2;4;49;F
CLI_219;1;1;10400;1450;3;1;45;F
CLI_220;1;1;10400;1450;2;1;51;F
CLI_221;1;2;10900;1400;5;4;31;M
CLI_222;1;1;6500;900;2;3;30;M
CLI_223;1;2;14300;2100;1;2;46;F
CLI_224;1;1;6700;950;5;3;31;M
CLI_225;1;1;6200;850;3;2;27;F
CLI_226;1;1;10900;1650;4;0;49;F
CLI_227;1;2;9700;1450;5;4;27;F
CLI_228;1;1;8100;1350;2;1;45;M
CLI_229;1;1;11900;1600;3;1;57;F
CLI_230;1;1;10100;1550;5;4;45;M
CLI_231;1;1;7700;950;4;1;36;F
CLI_232;1;1;8600;1600;1;1;68;F
CLI_233;1;1;4700;1100;3;0;33;M
CLI_234;1;1;7800;1350;4;4;41;M
CLI_235;1;1;7800;1050;2;1;38;M
CLI_236;1;1;5600;750;3;2;34;M
CLI_237;1;1;6700;1050;5;4;27;M
CLI_238;1;2;11100;2000;3;0;42;F
CLI_239;1;1;9500;1500;1;0;49;M
CLI_240;1;1;7300;1250;2;1;43;M
CLI_241;1;1;6600;1200;5;1;40;M
CLI_242;1;2;13700;1950;5;3;41;M
CLI_243;1;1;9400;1250;5;4;37;F
CLI_244;1;1;4700;600;3;2;29;F
CLI_245;1;2;14800;1800;3;3;40;M
CLI_246;1;1;7000;1150;3;4;33;M
CLI_247;1;1;8300;1100;3;4;37;M
CLI_248;1;2;11000;1400;5;4;28;F
CLI_249;1;1;6900;1150;2;1;37;M
CLI_250;1;2;19300;2500;1;3;69;F
CLI_251;1;1;10200;1450;4;3;51;F
CLI_252;1;2;21000;2200;5;0;37;M
CLI_253;1;1;11200;1550;1;1;53;F
CLI_254;1;1;7800;1300;3;1;39;M
CLI_255;1;1;6700;1000;5;1;31;M
CLI_256;1;2;21600;2400;3;5;62;M
CLI_257;1;1;5400;650;3;2;33;M
CLI_258;1;1;8200;1600;1;4;64;F
CLI_259;1;1;9900;1650;4;0;47;M
CLI_260;1;2;10400;1800;1;0;45;F
CLI_261;1;1;7800;950;4;2;35;M
CLI_262;1;1;9400;1400;4;0;46;F
CLI_263;1;2;16400;1700;3;5;36;M
CLI_264;1;2;2700;100;4;0;27;F
CLI_265;1;1;7100;1550;3;0;58;M
CLI_266;1;2;14400;2200;1;1;53;F
CLI_267;1;2;11200;1900;3;3;37;F
CLI_268;1;1;12200;1800;2;1;51;F
CLI_269;1;2;12200;1750;4;3;41;M
CLI_270;1;1;8100;1350;4;1;44;F
CLI_271;1;1;4700;550;3;2;26;M
CLI_272;1;1;7500;1050;2;1;38;F
CLI_273;1;1;5500;1300;1;1;50;F
CLI_274;1;1;9500;1450;1;4;60;M
CLI_275;1;1;5100;1000;4;1;33;F
CLI_276;1;2;13000;2000;3;2;53;F
CLI_277;1;1;8500;1650;1;0;62;M
CLI_278;1;1;7700;1150;3;1;40;F
CLI_279;1;1;6400;750;5;2;24;F
CLI_280;1;1;7700;1250;2;1;43;M
CLI_281;1;2;14500;2300;4;3;44;F
CLI_282;1;1;7900;1050;4;4;32;F
CLI_283;1;2;16900;2250;2;3;49;M
CLI_284;1;1;5900;950;2;1;35;M
CLI_285;1;2;20500;2350;5;5;52;F
CLI_286;1;2;15100;2000;4;2;44;M
CLI_287;1;2;12100;1400;2;5;38;M
CLI_288;1;1;4500;800;2;1;31;M
CLI_289;1;1;8700;1200;4;4;41;M
CLI_290;1;1;6900;1200;1;1;51;M
CLI_291;1;1;9100;1500;1;4;55;F
CLI_292;1;1;6300;800;1;2;35;M
CLI_293;1;2;15300;1650;3;5;34;F
CLI_294;1;1;7600;850;4;4;30;F
CLI_295;1;1;7000;1000;1;2;37;F
CLI_296;1;1;9500;1650;3;4;55;F
CLI_297;1;1;8200;1600;1;4;65;M
CLI_298;1;1;11000;1400;4;1;39;F
CLI_299;1;1;9500;1350;5;1;39;F
CLI_300;1;1;8200;1350;2;1;51;M
CLI_301;1;1;11200;1500;4;4;42;M
CLI_302;1;1;12500;1500;2;0;45;F
CLI_303;1;1;2500;200;2;0;37;M
CLI_304;1;1;7300;900;1;1;33;F
CLI_305;1;1;6400;1100;3;1;38;F
CLI_306;1;1;4600;600;3;2;28;F
CLI_307;1;1;7800;1250;5;4;42;M
CLI_308;1;1;5500;1000;1;1;39;M
CLI_309;1;1;8300;1300;3;4;42;M
CLI_310;1;2;6400;800;4;0;26;F
CLI_311;1;1;6600;1350;5;4;43;M
CLI_312;1;1;5000;750;5;2;25;M
CLI_313;1;2;8400;1550;3;0;40;M
CLI_314;1;1;6300;1150;2;1;45;M
CLI_315;1;1;7400;1200;1;1;46;M
CLI_316;1;1;11000;1600;1;4;61;F
CLI_317;1;1;10900;1450;4;1;41;M
CLI_318;1;1;11900;1550;4;0;45;F
CLI_319;1;1;7900;1350;4;4;48;M
CLI_320;1;1;6500;1100;3;1;42;F
CLI_321;1;1;11800;1750;3;0;63;M
CLI_322;1;2;16000;2150;3;2;47;F
CLI_323;1;2;12200;2200;5;0;39;F
CLI_324;1;2;10000;1700;1;1;41;F
CLI_325;1;2;13300;1900;3;5;41;F
CLI_326;1;1;6900;1200;2;1;50;M
CLI_327;1;1;7100;1350;3;4;54;F
CLI_328;1;1;4000;800;5;2;23;M
CLI_329;1;1;6700;1450;1;1;49;M
CLI_330;1;1;7000;1400;4;1;43;M
CLI_331;1;2;8800;1050;3;0;33;M
CLI_332;1;2;20800;2350;3;3;55;F
CLI_333;1;1;5900;650;3;2;33;F
CLI_334;1;1;10800;1600;4;4;45;M
CLI_335;1;1;7600;1450;5;0;37;F
CLI_336;1;1;5000;850;3;2;28;F
CLI_337;1;2;10000;1300;1;2;32;M
CLI_338;1;1;7500;1400;3;1;42;M
CLI_339;1;1;6900;1150;1;1;47;F
CLI_340;1;1;8200;1600;3;0;63;M
CLI_341;1;2;14000;1850;1;5;41;M
CLI_342;1;1;4800;600;3;1;32;F
CLI_343;1;2;15500;1950;1;2;43;F
CLI_344;1;1;7200;900;3;3;31;M
CLI_345;1;2;8100;1200;1;0;37;F
CLI_346;1;1;7100;1300;2;1;43;F
CLI_347;1;1;14000;1700;1;4;67;F
CLI_348;1;2;14000;2050;1;3;49;M
CLI_349;1;1;11500;2050;4;0;45;F
CLI_350;1;1;9100;1350;2;1;49;F
CLI_351;1;2;13300;2450;1;0;67;M
CLI_352;1;2;13000;1800;2;3;41;M
CLI_353;1;1;11400;2000;1;0;51;M
CLI_354;1;2;12800;2100;4;3;40;F
CLI_355;1;2;7400;1150;2;0;34;M
CLI_356;1;1;9000;1150;4;1;44;M
CLI_357;1;1;3700;700;4;0;27;F
CLI_358;1;2;12900;1700;4;3;36;F
CLI_359;1;1;5400;1050;3;1;37;M
CLI_360;1;1;8000;1300;2;1;48;F
CLI_361;1;2;12300;1950;1;5;43;F
CLI_362;1;2;15600;2450;1;2;67;M
CLI_363;1;1;8100;1350;5;4;44;M
CLI_364;1;2;13000;2000;2;1;48;M
CLI_365;1;1;5400;1150;2;1;46;F
CLI_366;1;1;9200;1100;1;1;37;F
CLI_367;1;2;17300;2400;3;2;55;M
CLI_368;1;1;8300;1400;3;0;45;M
CLI_369;1;2;15200;1850;3;1;42;M
CLI_370;1;1;8700;1400;5;4;42;F
CLI_371;1;2;27400;3400;4;0;52;F
CLI_372;1;1;9800;1450;2;0;58;M
CLI_373;1;1;8600;1500;4;0;39;M
CLI_374;1;1;13400;1950;3;0;49;M
CLI_375;1;1;7900;1250;4;4;43;F
CLI_376;1;2;25000;3400;2;0;61;M
CLI_377;1;1;7300;1400;2;0;53;M
CLI_378;1;1;8300;1500;3;1;46;F
CLI_379;1;2;10000;1550;3;1;37;M
CLI_380;1;1;9700;1500;3;1;55;M
CLI_381;1;2;10300;1900;3;1;45;M
CLI_382;1;2;6200;850;1;0;35;M
CLI_383;1;2;12800;1850;3;5;37;M
CLI_384;1;2;9600;1600;4;4;30;M
CLI_385;1;1;4500;750;1;2;36;M
CLI_386;1;2;12100;1600;4;1;32;F
CLI_387;1;2;11500;1400;1;2;41;M
CLI_388;1;1;5700;1000;4;1;33;F
CLI_389;1;2;17800;2650;3;3;47;F
CLI_390;1;1;10500;1350;1;1;47;F
CLI_391;1;2;13500;1700;5;0;43;F
CLI_392;1;1;5200;700;4;1;24;F
CLI_393;1;1;10800;1750;3;1;50;M
CLI_394;1;1;4500;650;3;2;28;F
CLI_395;1;1;9700;1200;4;1;35;F
CLI_396;1;1;5700;750;5;2;24;F
CLI_397;1;1;6600;850;5;3;27;F
CLI_398;1;1;5100;850;4;1;31;M
CLI_399;1;1;9200;1300;2;1;42;M
CLI_400;1;1;7500;1150;3;0;43;F
CLI_401;1;2;12400;1450;5;0;35;M
CLI_402;1;1;8900;1250;4;4;35;F
CLI_403;1;1;6400;1200;1;1;53;M
CLI_404;1;1;8400;1100;5;0;32;F
CLI_405;1;2;10400;2050;2;3;49;M
CLI_406;1;2;11200;1500;2;4;40;F
CLI_407;1;1;6700;1100;4;3;31;M
CLI_408;1;1;9700;1150;3;1;42;M
CLI_409;1;1;10000;1550;2;4;66;M
CLI_410;1;1;7700;1400;4;1;39;F
CLI_411;1;2;20900;2550;4;0;45;F
CLI_412;1;1;6500;950;4;3;35;M
CLI_413;1;1;9300;1150;1;1;55;M
CLI_414;1;1;7500;950;2;1;38;F
CLI_415;1;2;16300;2150;4;2;46;M
CLI_416;1;1;11200;1600;3;0;52;F
CLI_417;1;1;8400;1300;2;4;50;M
CLI_418;1;1;9400;1400;5;4;41;F
CLI_419;1;1;4900;750;2;1;38;F
CLI_420;1;2;11900;1500;4;2;30;F
CLI_421;1;1;10800;1900;4;4;48;F
CLI_422;1;2;10200;1800;2;0;41;M
CLI_423;1;2;10100;1600;5;0;32;M
CLI_424;1;1;7900;900;1;2;35;F
CLI_425;1;1;7800;1500;1;4;55;M
CLI_426;1;1;10400;1400;3;4;55;F
CLI_427;1;2;13400;1900;2;3;47;F
CLI_428;1;1;11300;1950;5;0;51;M
CLI_429;1;1;10200;1600;2;0;66;F
CLI_430;1;1;6500;1200;5;4;35;M
CLI_431;1;1;8300;1050;3;1;37;F
CLI_432;1;1;7100;900;2;4;35;F
CLI_433;1;1;10500;1450;1;4;62;F
CLI_434;1;1;5800;850;2;1;36;F
CLI_435;1;1;7900;1150;3;1;45;M
CLI_436;1;1;5500;900;2;1;31;M
CLI_437;1;1;9800;1450;4;4;45;M
CLI_438;1;1;10000;1500;4;4;47;F
CLI_439;1;1;8200;1150;4;3;38;M
CLI_440;1;2;15800;2000;3;2;41;F
CLI_441;1;1;6100;1250;3;1;38;M
CLI_442;1;2;9100;1300;5;0;29;F
CLI_443;1;1;9200;1600;2;1;58;M
CLI_444;1;1;7500;1100;4;4;35;F
CLI_445;1;2;8800;1550;2;1;35;M
CLI_446;1;1;5400;750;2;1;35;M
CLI_447;1;1;9000;1400;5;4;48;F
CLI_448;1;1;4600;1000;3;0;32;F
CLI_449;1;1;9300;1650;5;4;45;F
CLI_450;1;2;16000;2850;1;2;69;M
CLI_451;1;2;16700;2400;5;0;57;F
CLI_452;1;1;10100;1450;4;4;47;F
CLI_453;1;1;6400;1050;1;1;45;F
CLI_454;1;1;4300;950;5;0;31;F
CLI_455;1;1;6300;1000;4;3;33;F
CLI_456;1;1;6500;1050;2;1;39;F
CLI_457;1;1;7300;950;2;1;37;M
CLI_458;1;1;6300;900;5;3;33;M
CLI_459;1;1;7000;1000;3;1;37;M
CLI_460;1;1;13100;1850;2;0;51;F
CLI_461;1;1;5700;950;4;0;31;M
CLI_462;1;1;6300;1350;1;4;49;F
CLI_463;1;1;13100;1650;3;4;59;M
CLI_464;1;1;7300;950;2;4;40;M
CLI_465;1;2;11500;1950;4;5;41;M
CLI_466;1;1;6000;750;4;2;30;M
CLI_467;1;1;5800;1000;3;0;33;F
CLI_468;1;1;9600;1350;4;4;47;M
CLI_469;1;1;7000;1000;4;3;31;M
CLI_470;1;2;8800;1350;1;0;37;F
CLI_471;1;1;10700;1600;3;0;58;F
CLI_472;1;1;9200;1550;2;1;49;F
CLI_473;1;1;7700;1550;3;4;51;F
CLI_474;1;2;12400;1700;2;1;41;F
CLI_475;1;1;7000;1100;2;1;44;F
CLI_476;1;1;6500;1100;1;1;37;F
CLI_477;1;1;6500;1200;4;0;45;M
CLI_478;1;2;10300;2200;4;0;46;F
CLI_479;1;2;13300;2550;3;0;47;F
CLI_480;1;1;5000;550;2;3;33;M
CLI_481;1;1;3500;450;1;0;41;M
CLI_482;1;2;10500;1350;5;4;27;F
CLI_483;1;1;12200;1300;5;1;33;F
CLI_484;1;2;7300;1250;2;4;33;F
CLI_485;1;1;9300;1550;1;4;67;F
CLI_486;1;1;11400;1650;4;0;46;F
CLI_487;1;2;8200;850;2;0;30;F
CLI_488;1;1;7700;1200;3;4;48;F
CLI_489;1;2;10400;1450;5;4;30;F
CLI_490;1;2;13200;2200;1;5;61;F
CLI_491;1;1;10800;1500;5;4;46;F
CLI_492;1;2;12800;1800;3;1;41;M
CLI_493;1;1;3600;600;3;0;33;M
CLI_494;1;2;13000;2500;1;0;55;F
CLI_495;1;1;6400;850;2;4;34;M
CLI_496;1;2;11100;1600;2;3;38;M
CLI_497;1;2;14200;1700;1;3;50;F
CLI_498;1;1;10800;1550;2;4;61;M
CLI_499;1;2;9700;1350;1;4;37;F
CLI_500;1;1;6200;1250;5;4;39;F
CLI_501;1;1;7900;1150;3;1;41;F
CLI_502;1;1;10400;1700;1;0;51;M
CLI_503;1;1;4700;550;4;2;24;F
CLI_504;1;1;7900;1300;1;0;50;M
CLI_505;1;1;6600;1100;1;4;36;M
CLI_506;1;1;11500;1300;1;4;45;M
CLI_507;1;1;11300;1300;4;4;43;M
CLI_508;1;1;6500;850;4;0;28;M
CLI_509;1;2;7400;950;2;0;35;M
CLI_510;1;1;3700;600;4;0;28;F
CLI_511;1;1;2500;250;2;0;32;F
CLI_512;1;2;12600;1800;2;1;42;M
CLI_513;1;1;6600;1150;5;4;38;F
CLI_514;1;2;17100;2200;1;3;53;M
CLI_515;1;2;9300;1250;5;4;20;F
CLI_516;1;1;7100;850;5;4;20;F
CLI_517;1;1;6700;1300;5;4;34;M
CLI_518;1;2;10000;1500;3;4;38;F
CLI_519;1;1;10400;1200;1;4;48;M
CLI_520;1;1;9500;1350;4;4;49;F
CLI_521;1;1;9600;1400;1;4;50;M
CLI_522;1;1;8100;1300;1;1;53;F
CLI_523;1;1;11900;1450;4;0;43;F
CLI_524;1;1;6400;1250;2;1;41;M
CLI_525;1;1;9300;1650;2;0;58;M
CLI_526;1;1;9000;1300;1;4;61;F
CLI_527;1;2;6900;1150;2;0;38;M
CLI_528;1;2;8200;1900;5;0;38;M
CLI_529;1;1;8500;1300;2;4;48;M
CLI_530;1;1;10000;1500;4;0;53;M
CLI_531;1;1;6500;1200;5;4;38;M
CLI_532;1;1;11900;1700;1;4;51;M
CLI_533;1;1;9100;1450;2;0;47;M
CLI_534;1;1;7600;1400;4;4;44;F
CLI_535;1;1;7100;1100;2;4;40;F
CLI_536;1;1;8200;1350;5;2;43;M
CLI_537;1;1;6900;1200;4;1;38;M
CLI_538;1;1;3700;550;2;1;33;M
CLI_539;1;1;6000;750;3;4;33;M
CLI_540;1;1;5500;1000;1;1;48;M
CLI_541;1;2;10600;1850;1;1;44;M
CLI_542;1;1;7000;1250;2;3;45;M
CLI_543;1;1;9200;1200;5;1;33;M
CLI_544;1;1;9000;1250;1;1;43;M
CLI_545;1;2;12100;1800;3;1;40;M
CLI_546;1;1;7300;1050;2;1;36;M
CLI_547;1;2;16100;2350;3;2;55;M
CLI_548;1;2;11400;2450;2;3;57;F
CLI_549;1;2;5900;500;4;0;30;M
CLI_550;1;1;7200;950;3;3;40;M
CLI_551;1;1;7900;1000;3;3;33;M
CLI_552;1;1;6800;900;4;1;27;M
CLI_553;1;1;6600;1200;1;1;47;F
CLI_554;1;1;7200;950;1;1;42;F
CLI_555;1;1;11100;1700;2;1;60;F
CLI_556;1;1;7800;1200;1;1;49;F
CLI_557;1;1;3300;450;1;0;35;M
CLI_558;1;1;7800;1350;1;4;47;M
CLI_559;1;1;9400;1250;2;1;44;M
CLI_560;1;1;9700;1400;5;4;39;M
CLI_561;1;1;9100;1350;3;4;47;M
CLI_562;1;1;6000;1100;2;1;37;F
CLI_563;1;1;4800;700;5;2;20;M
CLI_564;1;1;10000;1900;3;0;60;F
CLI_565;1;1;6600;1200;1;1;47;M
CLI_566;1;1;4600;950;1;1;39;M
CLI_567;1;2;7000;1000;3;1;28;M
CLI_568;1;2;13300;1850;4;3;36;F
CLI_569;1;1;8800;1850;1;0;67;F
CLI_570;1;1;7700;900;1;1;36;F
CLI_571;1;1;7900;1250;4;4;39;F
CLI_572;1;1;7400;1100;1;1;41;F
CLI_573;1;2;13700;1800;5;0;36;M
CLI_574;1;1;5400;1450;5;0;47;F
CLI_575;1;2;8100;1400;4;0;32;F
CLI_576;1;2;13500;2250;2;3;47;F
CLI_577;1;1;5800;900;1;3;32;M
CLI_578;1;2;14800;2450;1;3;68;M
CLI_579;1;2;14200;1850;2;2;42;F
CLI_580;1;1;11900;1800;2;1;51;M
CLI_581;1;1;5400;850;1;2;38;F
